Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_1_15010.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_1_15013.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_2_15011.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_2_15014.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_3_15012.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0_Slot1-44_3_15015.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_1_15017.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_2_15018.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p3_Slot1-43_3_15019.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_1_15021.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_2_15022.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_0p6_Slot1-42_3_15023.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_1_15025.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_2_15026.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_1_Slot1-41_3_15027.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_1_15029.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_2_15030.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_2_Slot1-40_3_15031.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_1_15033.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_2_15034.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_5_Slot1-39_3_15035.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_1_15037.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_2_15038.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_10_Slot1-38_3_15039.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_1_15041.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_2_15042.d	D:\Local_Data\KB\GSH\20240613_TIMS_KB_GSH_20_Slot1-37_3_15043.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_1_15371.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_2_15372.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_0p6_Slot1-45_3_15373.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_1_15375.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_1_15443.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_2_15376.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_2_15444.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_3_15377.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_10_Slot1-46_3_15445.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_1_15379.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_1_15447.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_2_15380.d	D:\Local_Data\KB\GSH\20240709_TIMS_KB_GSH_20_Slot1-47_2_15448.d
Q6UWW8	Q6UWW8	EST3_HUMAN	CES3	Carboxylesterase 3	2280.98	873.735	2221.15	825.449	2015.09	1442.31	1457.62	1148.22	1698.4	1632.47	1300.59	979.831	1982.37	1708.08	1521.22	1844.71	2289	2640.21										1567.38	1738.05	1388.38										
Q6UX04	Q6UX04	CWC27_HUMAN	CWC27	Spliceosome-associated protein CWC27 homolog	1963.29	1990.3	2156.25	2158.92	2099.05	1585.89	2138.93	2522.73	2455.8	2348.69	2078.45	2383.12	2620.4	3104.16	2930.57	2455.15	2072.72	2731.05							3437.81			2018.28	2466.54	1705.78		3502.85					6662.01	3618.64		4189.08
Q6UXH1	Q6UXH1	CREL2_HUMAN	CRELD2	Protein disulfide isomerase CRELD2	1094.75	895.009		1299.03									1615.15	1283.91	1880.38	2704.83	3696.01	3174.64								6870.08		3155.83	3008.37	3732.16										
Q6UXN9	Q6UXN9	WDR82_HUMAN	WDR82	WD repeat-containing protein 82	5877.68	6252.07	5460.44	5671.62	5993.95	5825.26	5557.85	5939.92	5907.94	6572.12	6677.51	6348	5500.2	5617.74	5683.22	3995.25	4516.08	3548.35					3440.89		4558.48		3455.84	6238.16	5997.06	6759.08	14626.9	8518.64		5504.6		4589.5	5662.03	4156.7	3776.69	5463.44
Q6V1X1	Q6V1X1	DPP8_HUMAN	DPP8	Dipeptidyl peptidase 8	8632.74	8815.92	9411.5	9094.84	8568.78	10923.4	9149.33	8946.82	9101.91	8513.52	8040.57	7130.32	8162.64	7990.97	8087.14	8798.85	8749.96	10014.7				4897.84		12497.5	4903.04	5429.92	7507.2	8989.82	7881.21	8135.73							4807.93	8229.4	48298.7	7742.86
Q6VN20	Q6VN20	RBP10_HUMAN	RANBP10	Ran-binding protein 10	5891.24	6181.71	5859.73	5743.36	5667.18	5950.76	5664.18	5788.9	6550.74	7127.4	7321.91	6417.96	5075.27	6462.71	5575.93	5287.25	5840.06	5094.77									3656.27	5834.68	5939.84	6057.67					6689.14		4255.13	3887.65		5127.92
Q6VY07	Q6VY07	PACS1_HUMAN	PACS1	Phosphofurin acidic cluster sorting protein 1	1841.28	573.95	1672.87	1437.03	1913.86	2089.05	1684.61	1868.04	1721.33	2085.19	2038.58	1872.51	1931.98	1662.91	1784.92	1980.86		2965.08								3332.35		959.883										1291.59		2220.82
Q6WRI0	Q6WRI0	IGS10_HUMAN	IGSF10	Immunoglobulin superfamily member 10	6704.17	7365.82	6415.75	7327.09	6336.95	8105.09	6607.39	5282.2	5444.33	5615.89	6679.98	6553.55	3931.49	4122.25	4490.24	6852.09	8448.53	7509.34			2678.83				868.55	1911.74	772.646	5506.91	6229.43	5729.32										
Q6XQN6	Q6XQN6	PNCB_HUMAN	NAPRT	Nicotinate phosphoribosyltransferase	2057.92	1252.66	2433.47	1530.01	2064.26	1412.89	1934.02	1299.68	1715.16	1728.23	1871.07	1816.24	2493.71	2360.2	1993.02	1983.16	2405.31	2740.65	6355.12	6662.09	7908.81				1420.67	2125.54		1218.5	1068.72	1426.99		2343.07						2753.52		
Q6XZF7	Q6XZF7	DNMBP_HUMAN	DNMBP	Dynamin-binding protein	1152.41	1289.73	1368.14	803.106	1022.94	1421.78	1146.1	1318.14	1112.98	1225	1384.35	1119.24	1034.74	1266.15	1035.59	807.664	1223.22	1015.02										1360.78	1037.5	1174.41								2054.78		2339.88
Q6Y288	Q6Y288	B3GLT_HUMAN	B3GLCT	Beta-1,3-glucosyltransferase	599.267	442.136	854.059	300.399	840.575	734.323	610.881	783.876	875.238	701.42	595.234	517.292	622.966	703.516	730.344	831.651	701.152	1585.64										833.497	1088.43	931.633										
Q6YHU6	Q6YHU6	THADA_HUMAN	THADA	tRNA (32-2'-O)-methyltransferase regulator THADA	2820.18	2756.77	2813.81	2427.1	3117.93	2856.18	3002.05	3273.79	3120.65	3046.46	3029.52	2896.52	3364.76	3466.27	3117.71	3344.93	3619.6	3499.31							3415.45	3813.03	6331.43	3303.87	3024.14	2237.52								2533.81	8648.25	
Q6YP21	Q6YP21	KAT3_HUMAN	KYAT3	Kynurenine--oxoglutarate transaminase 3	41437.1	42751.9	41370.4	46774.3	40475.6	44229.4	52553.2	51758.2	51188.7	49441.1	51394.8	51830.9	50203.4	47173.1	47275.5	80445.6	82149.3	78148.9	145308	142132	147136	18609.3	16107.8	22106.1	14978.5	12329.3	14940.9	51073.6	51843.9	52030.2	37945.8	18697.5	20159.2	20926.2	15070.3	18992.5	21409	14312.6	13304.3	19431.7
Q6ZN06	Q8N4W9;Q6ZN06	ZN813_HUMAN	ZNF813	Zinc finger protein 813		664.854	233.015			1211.65	519.805	934.455	574.875	716.296	1039.12	573.203	499.005	592.964	850.912	536.659												1200.68		1283.8										
Q6ZN08	Q6ZN08	ZNF66_HUMAN	ZNF66	Putative zinc finger protein 66	250.708	446.151	387.91				747.573	1329.74	1136.18				258.176	511.559	693.796													733.472	791.007	937.062						3272.72		2366.19	1990.65	2215.44
Q6ZN18	Q6ZN18	AEBP2_HUMAN	AEBP2	Zinc finger protein AEBP2	1165.99	1576.22	1105.35	1122.44	1086.97	1224.76	1272.74	1168.34	926.85	1352.23	1249.82	973.042	1006.28	920.311	957.923	1233.33	943.847	1261.5								1326.43	1233.57	1122.65	971.664	1508.7								1648.25		2032.26
Q6ZN55	Q6ZN55	ZN574_HUMAN	ZNF574	Zinc finger protein 574	3137.77	2769.7	2767.62	3805.76	3417.58	3671.23	2841.48	2906.38	3176.23	2937.5	3459.17		2764.38	2772.55	2640.05	1924.74	2116.1	1692.44																						
Q6ZNJ1	Q6ZNJ1	NBEL2_HUMAN	NBEAL2	Neurobeachin-like protein 2	2001.24	1998.18	1785.89	1694.12	1772.88	2017.02	1910.21	1786.07	2085.98	1778	1883.75	1728.16	1424.08	1580.31	1729.3	1242.63	1511.87	1411.45				2500.1		825.653	4623.02	5376.04	6037.69	1708.4	1634.87	1543.52						4545.32	3638.54	2143.2	2598.64	2876.39
Q6ZNW5	Q6ZNW5	GDPP1_HUMAN	GDPGP1	GDP-D-glucose phosphorylase 1	2766.46	1990.14	2748.49	1893.73	2561.2	2820.72	2785.3	3031.03	2621.91	3098.74	3261.57	3354.76	3200.6	3029.42	3150.84	3010.97	3285.23	3004.83										1825.07	2370.33	2587.66								2543.42		
Q6ZRQ5	Q6ZRQ5	MMS22_HUMAN	MMS22L	Protein MMS22-like	1731.24	2255.57	1938.08	2253.72	2270.85	2543.79	2374.34	2482.7	2481.11	2211.5	2300.29	2026.88	1691.81	1958.49	1916.3	2299.84	2490.99	2370.86							1826.95			3905.04	2666.74	2883.69								3372.47		
Q6ZSZ5	Q6ZSZ5	ARHGI_HUMAN	ARHGEF18	Rho guanine nucleotide exchange factor 18	3087.73	2701.34	2968.62	2828.48	3172.93	3306.8	2979.52	2805.51	3214.74	2371.01	2902.87	2502.31	2561.78	2481.72	2712.35	2451.66	2610.09	2556.62					8582.73	7270.1	4380.14	3354.02	6884.66	2406.57	3082.51	2777.42							4278.74	4690.11	5657.01	5966.56
Q6ZT12	Q6ZT12	UBR3_HUMAN	UBR3	E3 ubiquitin-protein ligase UBR3	867.68	974.793	670.38	480.17	1156.65	954.474	1141.27	1085.67	1051.94	1172.15	1279.08	1074.6	777.285	1222.82	817.588	773.984	876.735	3050.36							1239.18		1107.35	926.721	712.833	786.952										1225.69
Q6ZT62	Q6ZT62;Q9Y3L3	BGIN_HUMAN	BARGIN	Bargin	462.016		568.731			525.915		555.791		498.806			547.64	375.145	448.848	336.295	614.487	529.18							1141.07		2156.09	509.171		668.134										
Q6ZT62;Q96GD0	Q6ZT62;Q96GD0	BGIN_HUMAN;PLPP_HUMAN	BARGIN;PDXP	Bargin	17746.2	14023.4	18915.2	16200.6	16884.5	14621.3	17554.3	17079.4	17168.7	12493.5	13260.2	13379.3	15037.6	15576.4	13988.1	18117.6	18962.6	14818.8			8275.4	1495.26			2629.11	3526.49	4497.32	11603.5	11092.8	15238.5	16197.5	6142.85		8251.63			3866.19	7437.42	7323.38	6233.38
Q6ZUM4	Q6ZUM4	RHG27_HUMAN	ARHGAP27	Rho GTPase-activating protein 27	4694.33	3552.8	4098.08	3561.87	3003.94	3771.73	3801.15	2931.25	3428.44	4148.46	4134.86	4194.21	3829.13	3718.81	3486.55	1632.54	2594.58	2647.25						3397.51	5851.19		7003.84	3287.95	2878.24	2266.51			2322.91	4066.19		4519.18	7688.19	5954.64	4625.48	5316.52
Q6ZUT1	Q6ZUT1	NKAP1_HUMAN	NKAPD1	Uncharacterized protein NKAPD1	1023.84			400.225	1061.66	1062.91	625.87	766.784	739.341	1077.55	1407.34	1267.07	840.175	738.515	860.102	829.476		1255.6										1319.84	860.158											
Q6ZVK8	Q6ZVK8	NUD18_HUMAN	NUDT18	8-oxo-dGDP phosphatase NUDT18	1921.73	2148.55	1897.47	1122.41	1354.93	2005.15	1384.34	1286.12	1568.61	1885.11	1139.38	1649.99	1637.17	1637.32	1875.88	1603.01	1587.53	1751.79					4003.8					1556.28	1782.25	1822.57										
Q6ZVM7	Q6ZVM7	TM1L2_HUMAN	TOM1L2	TOM1-like protein 2	1091.36		1023.38	1185.98	1100.69	1205.33	823.08	1207.11	975.101	848.531	637.791	770.98	758.821	1013.43	843.238	706.484		1345.87										1039.35	836.482	1664.33										
Q6ZVX7	Q6ZVX7	FBX50_HUMAN	NCCRP1	F-box only protein 50	888.241				638.011					1699.66	1106.42	2483.7		1204.94		2713.49	2186.19	2279.83	11021.3	6829.62	9507.84	6143.99	3465.29	8583.73	2305.73	3891.79	5884.89	765.945	1822.33		12947.9	9575.63	12182.9	9360.03	8910.01	7989.46	5600.09	6628.78	8544.49	6646
Q6ZWB6;Q96CX2	Q96CX2;Q6ZWB6	KCD12_HUMAN;KCTD8_HUMAN	KCTD12;KCTD8	BTB/POZ domain-containing protein KCTD8	3293.74	3382.35	3969.46	3034.62	3594.87	3882.8	3182.21	3292.46	2853.57	3033.01	2629.21	2286.86	2420.59	2878.31	3014.56	4841.43	5587.13	4889.16										3439.73	4956	4310.21									3866.36	
Q709C8	Q709C8	VP13C_HUMAN	VPS13C	Intermembrane lipid transfer protein VPS13C	5528.09	5462.33	5397.2	5172.26	5160.77	5816.35	5266.01	5238.08	5401.94	5166.36	5016.72	4924.99	4635.62	4822.78	4747.3	3997.36	3965.57	4686.92			13579.2	4205.45	4329.12		5902.54	6536.76	5810.88	5410.23	5408	5205.68		6265.61	18905.6			5315.75	5665.06	6651.13	6989.84	6392.74
Q70CQ2	Q70CQ2	UBP34_HUMAN	USP34	Ubiquitin carboxyl-terminal hydrolase 34	2961.61	2990.44	3263.89	3219.11	3195.8	3686.69	3130.8	3169.02	3247.35	3482.28	3207.56	2997.2	3370.03	3271	3228.95	3299.56	3114.43	3410.35			7574.03				2657.82			3363.74	3562.86	3343.56								2366.67	4328.53	4204.47
Q70IA6	Q70IA6	MOB2_HUMAN	MOB2	MOB kinase activator 2	4297.71	4351.27	4296.53	4295.38	4422.64	4641.45	3914.77	3975.33	3735.95	3683.97	3169.48	3515.5	2848.24	3230.22	3967.21		2646.47	2415.79				6083.92	8802.28	5338.51	6556.09	6964.8	8410.8	3735.62	2692.21	3086.53		8358.4				5471.05		7639.76	10300.3	9110.57
Q70J99	Q70J99	UN13D_HUMAN	UNC13D	Protein unc-13 homolog D	7901.14	8131.74	7731.25	8363.33	8256.74	8045.3	8305.26	8042.25	8574.51	8721.74	8267.87	8123.21	7381.15	6996.42	7335.44	5248.75	5214.95	5484.9				10214.6	12474.5	11999.2	11607.6	13378.3	11663.8	7095.8	7121.56	6977.18	13531.4	10187.4	9828.12	11315.4	9008.26	8696.55	12569.1	10597.8	10705.9	11332.3
Q712K3	Q712K3	UB2R2_HUMAN	UBE2R2	Ubiquitin-conjugating enzyme E2 R2	33163	30140.2	32524.7	30257.1	31219.7	32846.3	33672.4	34881.8	33426.2	33279.6	34976.9	39674.5	45773.2	45053.1	42819.3	64510	56970.9	53940.1	13679.6	16258	16752.3	14466.6	15172.8	14303	16487.8	21792.2	26222.2	44237.2	44343.2	46384.6	14588.8	12180.6	20260.6	10770.1	28551.7	19865.9	22153.7	16848	22682.9	17337.7
Q71U36	P0DPH7;P0DPH8;Q6PEY2;Q71U36	TBA1A_HUMAN	TUBA1A	Tubulin alpha-1A chain	17882.2	19878.2	18343.5	19486.7	15470.9	19558.2	13188.3	8996.55	10412.8	8186.14	9292.2	11088.4	5970.11	7585.89	8432.52	2562.23	2185.33	2781.12	7494.49	7657.83	6836.63	21088.8	5945.02	18914.1	8602.64	3365.46	5951.51	2435.24	3719.36	2977.7	36662.7	172560	31810.4	99575	27774.1	97663.8	25761.2	54799.9	9166.55	50053.2
Q71UM5	Q71UM5	RS27L_HUMAN	RPS27L	Ribosomal protein eS27-like	18099	17968.9	18140.1	18091	19832.1	16787.5	19632.5	18571	19316.3	16020	16452.7	16009.6	17716.8	17740.7	18505.5	23049.8	19115.3	22504.2						6485.81	6642.01		6225.96	19000.8	16986.6	18267.3	12150.5						6248.87	5916.85	7197.51	
Q76I76	Q76I76	SSH2_HUMAN	SSH2	Protein phosphatase Slingshot homolog 2	3076.33	2524.27	2673.65	2403.56	2706.35	3247.64	2886.17	2899.03	2800.67	2733.27	2494.8	2146.02	2544.7	2506.76	2685.83	2496.78	2451.15	3072.43								1594.94	5775.47	2486.79	2566.32	2328.71				4521.49			3061.26		4000.98	3475.11
Q7KZ85	Q7KZ85	SPT6H_HUMAN	SUPT6H	Transcription elongation factor SPT6	6287.82	6293.21	5952.01	6422.04	5917.43	7482.63	6412.21	6943.33	6700.34	5280.85	5417.57	5286.47	5850.69	6136.55	5983.42	4667.62	4847.82	5386.9				6086.49	8172.16	10236.3	10058.8	7679.81	10241.5	6394.74	6425.12	6030.14	16025.2	5876.05	13809.2	11516.5	18441.8	13579.9	12375.3	9297.28	10288.9	9696.78
Q7KZF4	Q7KZF4	SND1_HUMAN	SND1	Staphylococcal nuclease domain-containing protein 1	13090.7	13115.7	12510.2	13945.1	12369.9	13086	12915.3	12698.3	12766.6	11073.8	11129.6	11048.6	12407	12272.3	12087.1	15398.4	14636.2	13800.8				18127.2	15274.5	16862.2	19085.1	17079.6	18694.4	13753.7	13462.8	13630.6	20556.6	23721.6	18830.3	21513.6	12029.2	17479.8	18469.2	21876.3	20559.2	20147.3
Q7KZI7	Q7KZI7	MARK2_HUMAN	MARK2	Serine/threonine-protein kinase MARK2	3930.62	3839.39	4292.53	4227.33	4253.76	4224.85	3885.98	4470.18	3403.77	4127.07	4071.55	3647.15	3749.35	4210.64	4231.36	4190.59	3316.52	5565.43				8603.37	6714.6	14955.2	5442.45	5945.84	4750.78	3914.21	4072.57	4345.84		4340.18				11995.5	5815.53	4918.49	8155.35	7535.07
Q7L014	Q7L014	DDX46_HUMAN	DDX46	Probable ATP-dependent RNA helicase DDX46	19646.4	19616.3	20334.3	19302.1	20101.8	20246.6	21595.4	21616.2	21016.3	17816.7	16957	17355.9	19585.9	19620.5	20168.8	15012.9	16068.8	15812.5			22245.7	36183.3	40348.6	34793.9	35786.2	31800.5	39013	19250.3	19336.6	19080.9	29898.3	28289.5	32539.9	32501.7	39608.9	29182.2	41416.7	35847.9	39012.4	36990.6
Q7L099	Q7L099	RUFY3_HUMAN	RUFY3	Protein RUFY3	2897.53	2240.09	2680.17	1842.15	2723.8	3063.24	1782.42	2379.58	2146.81	2979.72	3051.62	2889.53	1988.43	2428.85	2333.84	2243.06	1917.55	2577.36				3380.5	9092.17	4175.7	4243.09	3057.3	4949.17	2045.61	2210.04	2466.85		6424.24	10557.2	6016.68	7181.26	5802.17	4894.3	3005.95	3082.04	4788.38
Q7L099;Q96T51	Q7L099;Q8WXA3;Q96T51	RUFY1_HUMAN;RUFY3_HUMAN	RUFY1;RUFY3	Protein RUFY3	6474.94	7109.28	7867	7422.75	7413.5	7760.04	7260.86	8020.11	6729.68	2097.03	1982.21	1533.86	7876.75	7772.79	7124.51	4513.38	4269.02	5000.89				8889	9448.82	8560.61	9518.51	11783.2	13534.4	6478.2	6953.37	6687.06	5893.57	10760.6		7463.37		6156.97	11729.9	11321.8	6870.74	10967.4
Q7L0J3	Q7L0J3	SV2A_HUMAN	SV2A	Synaptic vesicle glycoprotein 2A	2444.75	2112.35	2791.73	3383.22	3055.59	2283.4	2431.93	2474.93	2481.08	631.56		305.475	2284.47	2894.16	2079.95	1249.19	2256.75	2374									2223.9	2135.85	1768.47	2644.32		3961.74						2614		2543.83
Q7L1Q6	Q7L1Q6	5MP2_HUMAN	BZW1	eIF5-mimic protein 2	10438	10547.4	10938.5	11556.4	10596.4	11984.5	9919.12	10805.9	9558.33	7117.01	6942.37	7155.25	9065.95	9278.32	8731.05	5115.42	5704.48	6758.99				12330.2	13618.4	14658	15718.2	21474	20087	10745	9838.02	10494.3	17887.9	15764.6	12678.2	7664.14	8705.84	15576.9	16415.9	15985	17245.7	14220.9
Q7L1T6	Q7L1T6	NB5R4_HUMAN	CYB5R4	Cytochrome b5 reductase 4	1637.25	1554.21	1594.71	654.879	1678.5	1696.67	1619.52	1551.65	1890.36	1930.77	1439.5	1845.32	1692.87	1439.21	1900.63	1361.66	875.419	2016.95							1548.65		2976.48	934.585	794.113									3141.83		
Q7L266	Q7L266	ASGL1_HUMAN	ASRGL1	Isoaspartyl peptidase/L-asparaginase	29155.1	29363	28431.7	32376.8	27671.1	28560.6	28745.6	28082.9	28104.8	19977.5	19532.7	20411.1	25323.8	24623.9	25902.4	28384.8	28283.4	26324				8993.64	7596.56	1396.49		2562.57	3267.42	33382.7	34892.8	37335		4868.37		7597.32		3851.05	4168.9	1253.32		2858.11
Q7L2E3	Q7L2E3	DHX30_HUMAN	DHX30	ATP-dependent RNA helicase DHX30	4983.76	4492.31	5027.56	4174.87	4813.35	4618.28	4292.03	4774.28	4411.44	4545.79	4632.56	4874.68	3995.69	4317.24	4061.44	2840.76	3571.55	3744.31							3003.92	4503.6	3964.53	4524.19	4653.64	4304.48	18389.2					7450.14	6660.5	5189.16	6657.2	3912.25
Q7L2H7	Q7L2H7	EIF3M_HUMAN	EIF3M	Eukaryotic translation initiation factor 3 subunit M	17754.1	16783	16945.3	15510.7	17234.2	14516.7	16753.2	15560.8	15975.8	14486.4	14613.4	14412.9	15257.4	15543.4	15951.1	13279.4	13496	14292.4				7786.2	13098.8	14671.4	12806	14468.8	12244.2	13982.1	12951.2	16265.2		6260.99	14976.2	12450.6	10510.3	13171.6	12891.8	10901.9	14742.2	10203.1
Q7L2J0	Q7L2J0	MEPCE_HUMAN	MEPCE	7SK snRNA methylphosphate capping enzyme	10696.2	9876.57	10547.6	12381.2	11067.4	10229.8	9287.25	10171.9	9948.79	4811.42	6430.38	3493.21	8597.1	8878.02	8299.19	6585.31	6629.31	6546.6				10319	4180.16	13186.8	10661.8	10997.2	11298.7	9029.07	9163.54	8683.95		6100.36	7486.31	16646.7		15176.7	17131.1	12611.6	10322.6	9107
Q7L3B6	Q7L3B6	CD37L_HUMAN	CDC37L1	Hsp90 co-chaperone Cdc37-like 1	1438.79		1749.68		1225.81		1040.31	627.911						683.62																										
Q7L3S4	Q7L3S4	ZN771_HUMAN	ZNF771	Zinc finger protein 771	161.838	265.95	373.112	178.066	235.615		354.885	282.074	178.5			190.932	364.252	565.85	579.537	323.905	347.388	250.092										222.676	180.344	322.554										
Q7L4I2	Q7L4I2	RSRC2_HUMAN	RSRC2	Arginine/serine-rich coiled-coil protein 2	1858.89	1551.4	1504.62	1643.34	2136.4	2101.82	1679.6	1447.47	1727.69	716.217	866.698	671.818	635.795	1264.28	1274.3	1428.6										1109.3	2298.11	1767.4	1597.59	1560.32							2161.07	1271.09	2893.05	3230.93
Q7L523	Q5VZM2;Q7L523	RRAGA_HUMAN	RRAGA	Ras-related GTP-binding protein A	11624.2	13286.5	12222.5	12815.4	11850.1	13251.1	13315.5	13445.6	12573.1	9736.55	11394.1	11382.4	11609.2	11567.1	12156.6	9629.08	10079.2	11688.8				12689.2	8578.29	10907.4	9500.54	7087.64	7708.39	12374.2	12705.2	12321.9	13321.5	5224.67		10512.9	4113.32	7559.33	11511.3	7296.76	6773.75	9891.49
Q7L576	Q7L576	CYFP1_HUMAN	CYFIP1	Cytoplasmic FMR1-interacting protein 1	2235.94	2477.19	2530.89	2026.44	2704.87	2360.79	2205.27	2519.94	2659.24	2986.75	3384.58	2868.3	2814.08	2946.68	2962.52	2659	2213.53	2959.04				19473.6	5309.16		5794.15	3811.41	2167.92	2194.11	2636.32	2368.74		3478.88				12144.3	8210.29	5337.73	4692.54	2895.06
Q7L576;Q96F07	Q7L576;Q96F07	CYFP1_HUMAN;CYFP2_HUMAN	CYFIP1;CYFIP2	Cytoplasmic FMR1-interacting protein 1	6784.23	6597.17	7195.12	6095.31	5931.54	6342.75	6613.59	6718.96	6909.37	5551.36	6134.58	5421.14	6686.19	7435.85	6973.46	6473.56	6293.53	5963.97				10868.1	9741.49	7838.35	7967.52	7329.6	8620.51	5355.93	6135.32	5382.86	5080.24	11083.4	10445	10402.2	8037.56	7631.33	9419.46	9113.55	8336.12	8239.4
Q7L5D6	Q7L5D6	GET4_HUMAN	GET4	Golgi to ER traffic protein 4 homolog	5736.91	6961.21	6132.96	5930.2	5579.62	5910.18	5547.75	7017.26	6228.31	4687.21	4882.79	4824.48	4989.15	5047.49	4208.19	4016.02	4508.01	4040.85				9742.32	8869.36	8057.65	10409.5	13990.3	9900.61	6458.97	5770.25	5825.98	44201.8	18477.2		7209.76	34446.6	14423.4	13923.9	11843.8	16773.7	14385.6
Q7L5N1	Q7L5N1	CSN6_HUMAN	COPS6	COP9 signalosome complex subunit 6	11844.9	10234.6	11750.9	9896.36	10799	10647.2	10008.1	9362.03	10144.7	11363.4	11702.7	12344	11193.8	11314.4	11704.3	11646.9	10146.1	10468.6				3819.08		8425.83	8217.34	6787.62	9111.63	11237	10065.4	11603.6		10372.2		7931.26		6265.45	7095.43	6099.9	9162.74	7081.78
Q7L5Y1	Q7L5Y1	ENOF1_HUMAN	ENOSF1	Mitochondrial enolase superfamily member 1	4022.93	3712.2	4282.33	2754.18	4317.63	4240.69	3601.95	3637.73	3353.5	3232.81	2881.9	3020.54	2453.35	2940.56	2579.97	1854.87	2692.75	2106.3										3661.56	4085.15	3398.8										
Q7L5Y9	Q7L5Y9	MAEA_HUMAN	MAEA	E3 ubiquitin-protein transferase MAEA	5794.2	5372.53	6240.19	5804.58	6485.46	5959.08	6612.42	6543.18	6774.87	2391.31	3921.42	4674.64	5920.85	5603.64	5713.26	5912.49	6110.98	6457.28				7205.05	3713.38	8274.28	3699.05	4597.16	5841.62	5766.91	5732.2	6446.14		5933.3	15601.3	8146.72		2715.19	5127.51	5351.64	3844.7	4904.11
Q7L775	Q7L775	EPMIP_HUMAN	EPM2AIP1	EPM2A-interacting protein 1	5884.89	5990.01	6323.2	5884.42	5998.26	7069.78	6645.73	6633.88	6587.69	6880.22	6903.95	5361.21	5751.23	6249.17	6271.44	5766.01	5500.51	6088.5				4127.51	9128.03	6203.21	5619.56		4977.38	8701.46	6641.53	7555.56	9388.89	10347.5					6009.19	3309.38	8218.98	5071.9
Q7L8J4	Q7L8J4	3BP5L_HUMAN	SH3BP5L	SH3 domain-binding protein 5-like	1626.66	1342.63	2023.08	2006.97	1882.73	2421.78	1308.79	1773.62	1803.28	1231.49	1894.08	969.48	1517.13	1394.93	1926.57	1750.63	2863.42	2372.65						4834.17				1829.87	1635.45	2341.29										
